text,emotion
Do you think breaking up with him was a huge mistake ?,sadness
"All right , there are no questions in the happy place . Okay , just , the warm breeze , and the moonlight flowing through the trees ...",neutral
"I will bet he is totally over me , I will bet he is fine .",sadness
"All right , betting and wagering of any kind , are , I am sure , not permitted in the happy place .",neutral
"Okay ? There is just , you know , the ... the lovely waterfalls , and the , the trickling fountains ... and the ... the calming sounds of the babbling brook ...",neutral
"Okay , this is not working . I am still awake and now I have to pee .",disgust
"Okay , buddy ... boy . Here it is . You hide my clothes , I am wearing everything you own .",anger
Oh my God !,surprise
That is so not the opposite of taking somebody underwear ! !,anger
Look at me ! I am Chandler ! Could I be wearing any more clothes ?,anger
Maybe if I was not going commando ...,anger
Oooo ... ooh !,disgust
"I tell you , it is hot with all of this stuff on . I ah , I better not do any , I do not know , lunges .",neutral
Whoaa ! !,surprise
"See Joe , that is why your parents told you not to jump on the bed .",neutral
"Hey , look at me . I am making jam , been at it since 4 o clock this morning .",joy
Where would you get fruit at four in the morning ?,surprise
Went down to the docks . Bet you did not know you could get it wholesale .,neutral
I did not know there were docks .,surprise
Hey .,neutral
"Aww , is it broken ?",sadness
"No , I gotta wear this thing for a couple weeks .",sadness
Did you tell the doctor you did it jumping up and down on your bed ?,neutral
Nooo . I had a story all worked out but then Chandler sold me out .,sadness
"Well , I am sorry Joe . I did not think the doctor was gonna buy that it just "" fell out of the socket "" .",sadness
What is this ? Fruit ?,surprise
Monica making jam .,neutral
"Whoa , jam ! I love jam ! Hey , how come we never have jam at our place ?",joy
Because the kids need new shoes .,neutral
I am going into business people .,neutral
I am sick and tired of being depressed about Richard .,neutral
"I needed a plan , a plan to get over my man .",joy
What the opposite of man ?,neutral
Jam .,neutral
Oh Joey do not !,fear
It is way to hot .,anger
This will just be my batch .,neutral
"It took me 28 years to find one man that I wanna spend my life with , if I have to wait another 28 years then , I will be 56 before I can have a baby , and that is just stupid .",sadness
That is what stupid ?,disgust
"I do not need an actual man , just a couple of his best swimmers .",neutral
"And there , there are places you can go to get that stuff .",neutral
Down at the docks again ?,surprise
Hey .,neutral
Hey .,neutral
Where you going ?,neutral
To the bank .,neutral
Sperm or regular ?,neutral
Sperm .,neutral
"So you are really doing this , huh ?",surprise
"Oh yeah , I picked a guy , 37135 .",neutral
Sounds nice .,joy
I would say so . He is got brown hair and green eyes .,joy
"No kidding , hmm .",surprise
What ?,sadness
"Well , it is official there are no good movies .",sadness
"Well , let go to a bad one and make out .",joy
"Perhaps , you would like me to turn like this , so that you can bunny bump against my back .",neutral
Hey !,surprise
Hey .,neutral
"Hey , man . What up ?",neutral
Maybe you can tell me .,neutral
My agent would like to know why I did not show up at the audition I did not know I had today .,anger
The first good thing she gets me in weeks . How could you not give me the message ?,anger
"Well , I will tell you I do enjoy guilt , but , ah , it was not me .",sadness
"Yes , it was ! It was him ! Uh huh !",neutral
"Okay , it was me !",anger
How is it you ?,surprise
"Guess who here . It is the toughest guy in toy land , Ben . Real American hero . I am G . I . Joe !",neutral
G . I . Joe ? Do you really think he is gonna fall for that ?,surprise
G . I . Joe ! Cool ! Can I play ?,joy
"Look Ben , it is a toy that protects U . S . oil interests overseas !",joy
"Okay , that is , that is enough .",neutral
Will not you ... will not you ... will not you ...,neutral
Will not you dance around with me .,neutral
A ... ha ! ! !,surprise
Hey !,surprise
Hey !,surprise
No . You know how we are always saying we need a place for the mail .,neutral
"Well , I started building one . But then I decided to take it to the next step .",neutral
You are building a post office ?,surprise
"No , an entertainment unit , with a mail cubby built right in . It is a one day job , max .",neutral
Okay . My word ! Those are snug .,surprise
"Oh yeah . These are my old work pants , Sergio Valente .",neutral
Power saw kinda got away from me there .,neutral
Chandler .,neutral
Hi .,neutral
Hi .,neutral
Joey .,neutral
Hey ... hey !,joy
Hey .,neutral
This is Monica .,neutral
Whoa !,surprise
And this is Rachel .,neutral
Hi !,joy
Whoa ! !,surprise
I am gonna get coffee .,neutral
"Hey , how do you guys get anything done ?",surprise
"We do not , really .",neutral
"Well , so , now , do you guys have a lot of big plans ?",neutral
"Oh yeah ! Yeah , no , we are gonna connect , you know bond , and everything .",joy
"Yeah , I was thinking that maybe we could go down to Time Square and pick up some ninja stars .",neutral
"And , oh , um , my friend Larry , he wants me to take a picture of a hooker .",neutral
"You know , we do not really take advantage of living in the city .",neutral
Hey ! Where you heading in those pants ? 1982 ?,joy
"Oh Monica , listen , I ah , I saw down at the hardware store , they got those designer tiles on sale .",neutral
If you ever want to redo the bathroom floor .,neutral
"Why , what wrong with my bathroom floor ?",surprise
"Nothing . It is just old and dingy , that is all .",disgust
I highly doubt that .,anger
"Oh yeah . If you ah , move your hamper , you see what color the tile used to be . Yeah .",disgust
I can not live like this ! What are we gonna do ? What are we gonna do ?,fear
Relax . Here hold this . This old stuff just comes right off .,neutral
That is a little more than I wanted to see .,disgust
Aw !,surprise
"Look at that , every inch of this stuff is glued down .",surprise
It would take forever to pry this up .,joy
"You should ah , you should just leave it .",neutral
I can not leave it ! You gouged a hole in my dingy floor .,anger
Eh ! There you go .,neutral
"You know that is nice , you know we could put it back there after the surgeons remove it from your colon !",anger
"Okay , I have got three of my five .",neutral
"Three of your five , what ?",neutral
Celebrities I am allowed to sleep with .,neutral
Oh my God ! You are giving this a lot of thought .,surprise
"Yeah , it is hard okay , I only have two spots left .",neutral
"All right , so who do you got it narrowed down to ?",neutral
"Okay , Elizabeth Hurely ...",joy
"Oooh ... hoo , very attractive , forgiving .",surprise
Susan Sarandon .,neutral
"Eh , you know what , she is too political , she probably would not let you do it , unless you donated four cans of food first .",disgust
And ! ! Isabella Rosselini .,joy
"Ooh ... hoo . Very hot , very sexy . But ah , you know she is too international , you know she is never gonna be around .",joy
So ?,neutral
"So , you gotta play the odds , pick somebody who gonna be in the country like all the time .",neutral
"Yeah , cause that is why you will not get Isabella Rosselini , geography .",neutral
Which you just gave up really quickly .,neutral
Have you seen Joey ?,neutral
What the matter ?,neutral
"Oh , just this ! You know what it is my fault really , because the couch is where we usually keep the varnish .",anger
"Hey , does somebody wanna hand me one of those tiles ?",neutral
What going on ?,surprise
He is retiling my floor .,neutral
Yo ! ! Spackel boy ! Get up !,anger
"Ah ... ah ... ah , now you started this , you will finish it .",anger
He started mine first !,anger
"Build the unit Cinderelly , lay the tile Cinderelly .",neutral
"Well , I do not think this , you know .",neutral
"No , no , no , I would not do you myself , I mean that would be weird .",disgust
"Yeah , no , I will get one of the other girls to do it .",neutral
"Oh , this will be so much fun !",joy
Yay !,joy
Are you excited ?,joy
"Yeah ! Hey , do Monica and Rachel work there ?",neutral
It is beautiful ! It is like the first bathroom floor there ever was . Whoa ! What are you going in there for ?,surprise
"What , like a number ?",neutral
Hey !,joy
Hi ! Bye !,neutral
"Okay , I am done with my choices , these are final .",neutral
"Well , it is about time .",neutral
"Ooh , very official .",neutral
"Oh , yeah , well you know Chandler printed it up on his computer .",neutral
And who laminated it ?,neutral
That would be me .,neutral
"All right let me see . Uma Thurman , Winona Ryder , Elizabeth Hurely , Michelle Pfieffer , and Dorothy Hammel ?",neutral
"Hey , it is my list .",anger
"Okay honey , you do realize she only spins like that on ice .",neutral
"Okay sir , um ... mm , let see if I got this right .",neutral
"Ah , so this is a half ... caf , double tall , easy hazel nut , non ... fat , no foam , with whip , extra hot latte , right ?",neutral
"Okay , great .",joy
You freak .,disgust
Thank you .,neutral
"A coffee to go , please .",neutral
Isabella Rosselini .,surprise
Are you serious ? Oh my God .,surprise
Damn ! I can not believe I took her off my list .,anger
Why ? Cause otherwise you would go for it ?,surprise
"Yeah , maybe .",neutral
"Oh ... oh , you lie .",surprise
What ? You do not think I would go up to her ?,surprise
"Ross , it took you ten years to finally admit you liked me .",neutral
"Yeah , well missy , you better be glad that list is laminated .",anger
"You know what honey , you go ahead , we will call her an alternate .",neutral
"Okay , hold my crawler .",neutral
Okay .,neutral
"Rach , are you really gonna let him do this ?",surprise
"Honey , he is about to go hit on Isabella Rosselini . I am just sorry we do not got popcorn .",joy
"Hi ! Hi , I am Ross , you do not know me , but I am a big , big fan of yours . I mean ,",joy
Are not you with that girl over there ?,neutral
"Well , yeah , kinda .",neutral
"Um , but that is okay , see we have an understanding , um , see we each have this list of five famous people , and you were one of mine .",neutral
"No , no , no , it is flattery .",fear
"Oh no , no , no , wait , wait , Isabella .",fear
"Do not , do not just dismiss this so fast .",fear
I mean this is a once in a lifetime opportunity ...,neutral
"Yeah , for you . Is that the list ?",neutral
"Um , yeah .",neutral
May I see it ?,neutral
"Um , no .",fear
Come on !,joy
"But , okay .",neutral
I am not on the list !,surprise
"Um , see , but that is not the final draft .",neutral
It is laminated !,anger
"Yeah , um , okay see , you were , you were on the list but my friend , Chandler brought up the very good point that you are international , so I bumped you for Wynona Rider , local .",neutral
You know it is ironic ...,neutral
... because I have a list of five goofy coffee house guys and yesterday I bumped you for that guy over there .,neutral
We are just gonna be friends .,neutral
You know what ?,neutral
Umm ?,neutral
I bet you ya I could fit in there .,neutral
I have got five bucks says you can not .,neutral
"Oh , that is so unfortunate .",sadness
What ?,neutral
Cute naked guy is really starting to put on weight .,sadness
"Okay , I will be back in just a minute . Oh , Phoebe I am sorry that I left lipstick marks on the phone .",neutral
You did not leave lipstick marks on the phone .,neutral
"Oh , then it must have been you . Bye .",neutral
Bye ... bye ! That is why I moved out .,joy
"Hey , you know while we are on that , when are you gonna tell my sister that you do not live here anymore .",neutral
I think on some levels she already knows .,neutral
"Hey , Mon .",neutral
Hey ... hey ... hey . You wanna hear something that sucks ?,neutral
Do I ever .,joy
Chris says they are closing down the bar .,sadness
No way !,surprise
"Yeah , apparently they are turning it into some kinda coffee place .",neutral
Just coffee ! Where are we gonna hang out now ?,disgust
Got me .,sadness
Can I get a beer .,neutral
"Hey , did you pick a roommate ?",neutral
You betcha !,joy
Is it the Italian guy ?,surprise
"Um ... mm , yeah right !",joy
"No real ... , honey , really it is fine , just g ... go with Susan .",neutral
"Really , I , no , I think girls night out is a great idea .",joy
"Okay , okay , bye",neutral
So what are they doing ?,neutral
"I do not know , something girlie .",joy
"Hey , you are early .",neutral
What are you doing with the lamp ?,surprise
I am just taking it to be re ... wired .,neutral
"Oh , well do not take it to the same place you took the stereo , cause they have had that thing for over a week .",disgust
"No , no , Mr . Heckles no one is making any noise up here .",neutral
You are disturbing my oboe practice .,anger
You do not play the oboe !,anger
I could play the oboe !,anger
Then I am gonna have to ask you to keep it down .,neutral
Who are you ?,surprise
"Hi , I am Eric , I am gonna be Chandler new roommate .",neutral
I am Chandler new roommate .,surprise
I ... I ... I do not think so .,surprise
I could be Chandler new roommate .,surprise
"But , he told me over the phone .",surprise
He told me in person .,neutral
That is weird .,surprise
"Well , I am going to go into my new apartment now . Ehh !",joy
Thank you . Just make yourself comfortable .,neutral
Gotcha .,neutral
This place is really my Grandmother .,neutral
"I got it from her when she moved to Florida , otherwise I could never afford a place like this .",neutral
"So if the landlord ever asks , I am 87 year old woman , who afraid of her VCR .",neutral
So are you thirsty ?,neutral
"Oh , you bet I am !",joy
"Okay , here is your penis !",surprise
Oh my God ! ! ! What are you doing ? ! !,surprise
"You said , you wanna come in for some lemonade ?",neutral
So ? !,disgust
"Whoa , ah ! ! We are you just gonna give me some lemonade ?",surprise
Yeah huh ! ! Cover yourself up !,disgust
"Oh right , right .",neutral
"I do not believe this ! When someone asks you in for lemonade , and to you that means they wanna have sex ?",anger
Well usually ... yeah !,surprise
"Well , not just lemonade , iced tea , sometimes juice .",neutral
"Well , sorry , I just , I thought you liked me .",neutral
I am such a jerk .,sadness
"It is okay . I suppose it could happen to anyone , not anyone I know , but ... By the way I can still see it .",neutral
"That was supposed to be a good thing , I forget why .",neutral
"Just listen , Monica , I , do you know , okay , do you know , I could not sleep for like a month because I got like a dot of ink on one of the sofa cushions .",sadness
"Well , you ... you coulda just turned the cushion over .",neutral
"Yeah , I would have except I had a big spaghetti stain on the other side .",neutral
What ? ! ? !,surprise
"Okay , this is what I am talking about , this . I ... I need to live in a land where people can spill .",neutral
You can spill . In the sink .,neutral
"Aw , honey it is not your fault , you know this is who you are , and I love you , and I want us to be friends , and if I keep living here I do not see that happening .",sadness
"I love you , too .",sadness
"Aww , good . What ?",joy
What ? I am just sad .,surprise
"No you are not , you are wondering which cushion it is .",neutral
"Maybe this would have happened if I would been more nurturing , or I would paid more attention , or I ... had a uterus .",sadness
I can not believe this !,surprise
"I know no , no , you know you do not deserve this , you do not Ross .",sadness
"You are , you are really , you are so good .",sadness
Thanks .,sadness
And you are so sweet . And you are kind,neutral
Thanks .,sadness
"Wait , wait , wait , wait , wait .",surprise
"Okay , it is okay .",neutral
"Wait , wait , wait .",surprise
My foot is stuck in the pocket .,sadness
What ?,surprise
"No , I can not get it out .",sadness
I can not believe you came back .,surprise
Do not say anything .,neutral
"I do not wanna speak , I do not wanna think .",neutral
"I just want you to take me and kiss me and make love to me right here , right now .",joy
Rachel ! Rachel !,surprise
What ?,neutral
You missed the exit !,surprise
"Oh , sorry .",neutral
"My God , what were you thinking about ?",surprise
"Um , Barry .",neutral
Awwwww,joy
"Okay , some tricks of the trade .",neutral
"Now , I have never been able to cry as an actor , so if I am in a scene where I have to cry , I cut a hole in my pocket , take a pair of tweezers , and just start pulling .",neutral
"Or ah , or , let say I wanna convey that I have just done something evil .",neutral
"That would be the basic I have a fishhook in my eyebrow and I like it Okay , let say I have just gotten bad news , well all I do there is try and divide 232 by 13 .",neutral
And that is how it is done .,neutral
"Great soap opera acting tonight everybody , class dismissed .",joy
"Hey , Mr . Trib .",neutral
Hey ... hey .,joy
"Look , I just saw my best friends brains smeared across the canvas , that is not gonna be me , not me .",sadness
Wow ! That was good . That was ... Tweezers ?,surprise
No .,neutral
Whoa . That was really good .,surprise
"Thanks , any suggestions ?",neutral
There will come a time in each of your careers when you will have a chance to screw over another soap opera actor .,neutral
"I had such an opportunity in the recent , present .",neutral
"And I am ashamed to say that I took it , I advised a fellow actor to play a role , homosexually .",sadness
"Yeah , we both auditioned for the part , and uh , as it turned out , they ah , they liked the stupid gay thing and cast him .",sadness
"And now , he is got a two year contract opposite Susan Luchhi , the first lady of daytime television , and me , me I am stuck here teaching a bunch of people , most of whom are too ugly to even be on TV .",sadness
"I am sorry , I am sorry , I am sorry .",sadness
Thank you .,neutral
"Uh , may I help you ?",neutral
"Yeah , I talked to you on the phone , I am the lady that got stuck with the racecar bed .",neutral
"Look , it is like I told you , there is nothing I can do . You signed for it , Monica Velula Geller .",neutral
"All right , Jester man , look we wanna see the King .",neutral
Nobody sees the King !,anger
"Oh ... ho ... kay , I am talking to the King .",neutral
Hey ! You can not go back there !,anger
Varrrrrroom !,neutral
Hey !,anger
"Watch it , lady !",anger
Varrrrrrrrrrom !,neutral
Hey ... hey good looking !,joy
Varrrrrrrrroom .,neutral
"All right , I will leave .",sadness
My bed so boring .,sadness
Here you go Pheebs . Who else wants one of my special homemade brownies ?,neutral
I will have one .,neutral
"Okay , I am not gonna have one .",neutral
"No , no , it is just my tooth .",sadness
All right I will have one .,neutral
"So what a matter , you need a dentist ? I have got a good one .",neutral
"No thanks , I have a good one too . I just , I , I can not see him .",fear
See that is the problem with invisible dentists .,neutral
Why ? Why can not you go to him ?,surprise
"Because , every time I go to the dentist , somebody dies .",anger
"That is so weird , because every time I go to the dentist , I look down the hygienist blouse .",joy
"Phoebe , what ? Umm ... what ? !",surprise
"Yeah , yeah , first there was my aunt Mary , and then there was umm , John , my mailman , and then my , my cowboy friend Albino Bob .",neutral
And all these people actually died ?,surprise
"Yes , while I was in the chair !",sadness
"That is why I take such good care of my teeth now , you know , it is not about oral hygiene , I floss to save lives !",anger
"Pheebs , come on , you did not kill anybody , these people just happened to die when you went to the dentist .",neutral
"It is , it is , it is just ah , a coincidence .",neutral
"Well tell that to them . Oh ! You can not , their dead .",sadness
"Hey ! Hold on a minute , hold on a second . Do you think these pearls are nice ?",anger
I would really prefer a mountain bike .,neutral
"Janice birthday is coming up , I want to get her something speacial . Come in here with me .",neutral
"Whoa , whoa , whoa , wait , whoa .",surprise
"Do you ah , want to get her something speacial , get her flowers , get her candy , get her gum , girls love gum .",joy
"That is a good idea , Dear Janice have a Hubba ... Bubba birthday . I would like to get her something serious .",disgust
"Oh , you want something serious .",surprise
"You know what you should do , you should get her one of those um , barium enemas .",neutral
Those are dead serious .,neutral
"All right . Look , I am gonna go in here , and you do not buy me anything ever .",anger
"No , no , you can not , you can not , okay , you can not , you can not buy her pearls , you just can not , you can not , you can not .",fear
Why not ? !,surprise
"Oh God . Uh , okay , here is the thing , this is the thing , okay , the thing is ...",neutral
What is the thing ?,anger
"Okay . I went down to the Mattress King showroom and , and I saw Janice , kissing her ex ... husband .",sadness
What ?,surprise
They were in his office .,neutral
"Well she , she would not do that , she is with , she is with me .",sadness
Okay . Let bring it in .,neutral
"Wait no , honey , honey throw it to me , throw it to me .",neutral
Here you go .,neutral
That almost hit me in the face .,anger
Is not there a national football league .,neutral
"Yes . Yes , there is , they play on Sundays and Monday nights .",neutral
Oh shoot ! I work Monday nights .,sadness
"Umm , this stuffing is amazing . Do you think we should bring them some ?",joy
"When they are hungry enough , they will come in .",neutral
Let go !,anger
No ! You let go !,anger
How come it is always us left in the field holding the ball ?,sadness
I do not know . I guess the other people just do not care enough .,neutral
Hey ! It is starting to snow .,sadness
Gimme the this !,anger
Let go !,anger
"So , this must be kinda neat for you , huh ?",neutral
"I mean , your Dad tells me that you get a couple of days off school , and you , you ah , do not have to sell those cookies anymore .",neutral
"Well , I kinda wanted to sell the cookies . The girl who sells the most wins a trip to Spacecamp , and gets to sit in a real space shuttle .",sadness
"Wow , you ah , you really like all this space stuff , huh ?",surprise
Yeah .,neutral
"My Dad says if I spend as much time helping him clean apartments , as I do daydreaming about outer space , he would be able to afford a trip to the Taj Mahal .",sadness
I think you would have to clean a whole lot of apartments to go all the way to India .,neutral
"No . The one in Atlantic City , Dad loves the slots . He says he is gonna double the college money my Grandma left me .",neutral
Hey .,neutral
"Hey . What , what are you doing here ?",surprise
"Well , I ... I thought a lot about what you said , and um , I realilized duh , all right maybe I was a little judgmental .",sadness
"Yeah , oh , but oh ...",neutral
"Look now , Phoebe remember , hey , their just fulfilling their Christmas ...",neutral
Destiny .,neutral
Sure .,neutral
Yes .,neutral
All right .,neutral
Okay . Yikes ! That one does not look very fulfilled .,surprise
"Oh , that is , that is ah , one of the old ones , he is just taking it to the back .",neutral
"You keep the old ones in the back , that is so ageist .",anger
Well we have to make room for the fresh ones .,neutral
"So , what happens to the old guys ?",sadness
"Well , they go into the chipper .",neutral
"Why , do I have a feeling that is not as happy as it sounds ? No ! Nooooo ! ! !",fear
Hey ! Hey ! !,surprise
"... and 12 , 22 , 18 , four ... What ?",surprise
I spelled out boobies .,joy
"Ross , but me down for another box of the mint treasures , okay . Where , where are the mint treasures ?",neutral
"Ah , we are out . I sold them all .",neutral
What ?,surprise
No .,sadness
"No , just , just , just a couple more boxes .",neutral
"It ... it ... it is no big deal , all right , I am ... I am cool .",fear
You gotta help me out with a couple more boxes !,sadness
"Mon , look at yourself . You have cookie on your neck .",disgust
Oh God !,surprise
"So , how many have you sold so far ?",neutral
Check this out . Five hundred and seventeen boxes !,surprise
"Oh my God , how did you do that ?",surprise
"Okay , the other night I was leaving the museum just as Laser Floyd was letting out of the planetarium , without even trying I sold 50 boxes !",joy
"That is when it occurred to me , the key to my success , the munchies . So I ah , started hitting the NYU dorms around midnight .",joy
I am selling cookies by the case .,joy
They call me : Cookie Dude !,joy
"Okay , stop what you are doing , I need envelope stuffers , I need stamp lickers ...",neutral
"Well hey , who did these resumes for you ?",surprise
Me ! On my computer .,joy
"Hi there . How many , how many ah , did you sell ?",neutral
I am not gonna tell you ! You are the bad man who broke Sarah leg .,anger
"Hey now ! That was an accident , okay .",anger
You are a big scrud .,anger
What a scrud ?,neutral
"Why do not you look in the mirror , scrud .",anger
I do not have too . I can just look at you .,joy
"All right girls , and man . Let see your final tallies . Ohhhh , Debbie , 321 boxes of cookies , Very nice .",joy
Not nice enough .,joy
"Charla , 278 . Sorry , dear , but still good .",joy
"I am , I am sorry you did not get to go to Spacecamp , and I am hoping that maybe somehow , this may make up for it .",sadness
Presenting Sarah Tuttle Private Very Special Spacecamp !,joy
"Oh God , I hate my job , I hate it , I hate my job , I hate it .",disgust
"I know honey , I am sorry .",sadness
"Oh , I wanna quit , but then I think I should stick it out , then I think why would such a person stay in such a demeaning job , just because it is remotely related to the field they are interested in .",sadness
"Gee , I do not know Rach . Order up ! ! I got a Yentel soup , a James Beans , and a Howdy hold the Dowdy !",anger
"Oh honey , come on , I am sorry , I did not ...",sadness
"I do not mind paying my dues , you know , its just how much am I gonna learn about fashion by walking Mira , the arthritic seamstress , to the bathroom .",disgust
Hi ! Is my misery amusing to you ?,anger
"I am sorry , I wa , I wa , I was just ah ...",fear
"It is not funny , this is actually my job .",anger
"Oh believe me , I ... I ... I have been there . I had to sort mannequin heads at that Mannequins Plus .",neutral
"Oh well then , so I am just going to go back to talking to my friend here .",joy
And you can go back to enjoying your little hamburger .,joy
"Ah , just one other thing .",neutral
Yes ? !,surprise
"I ah , I work at",neutral
Do you want my pickle ?,neutral
Hey guys .,neutral
Hey Gunther . Hi . I mean you are going out on a date with the noisy guy upstairs ?,surprise
"Well , he is very charming .",neutral
"I know , he is too charming , but if you two start going out , then it is just gonna make it so much harder for me to hate him .",disgust
"Well , you are just gonna have to try .",neutral
"Joey , where are the Jell ... o shots ?",neutral
"I do not know , Chandler is supposed to be passin em around ...",neutral
"Are you insane ? I mean Joey , is going to kill you , he is actually going to kill you dead .",anger
Okay ! You do not think I thought of that ?,anger
How can you not know which one ?,surprise
I mean that is unbelievable .,surprise
"I mean , was it Gina ?",neutral
Which one is Gina ?,neutral
"Dark , big hair , with the airplane earrings .",neutral
"No , no , no , that is Dina .",neutral
"You see you can not tell which one is which either , dwha ! !",anger
Dear Mary ... Angela .,neutral
Hi .,neutral
How it going .,neutral
This is the hardest letter I have ever had to write .,neutral
What the hell a matter with you ?,disgust
How do you think Joey going to react when he finds out that you blew off his sister with a letter ?,anger
"Well , that is the part where you tell him that I moved to France . When actually I will be in Cuba .",neutral
"All right , look , look , you have got to do this yourself , okay in person .",neutral
At least you know her name .,neutral
"You just go to the house and you ask for Mary ... Angela , okay , when which ever one she is comes to the door , you take her for a walk , you let her down easy .",neutral
What if Mary ... Angela comes to the door and I ask for Mary ... Angela ?,fear
Where in Cuba ?,sadness
Hey !,surprise
Hi !,joy
What are you doing here ?,surprise
"Ah you know , this building is on my paper route so I ...",neutral
Oh .,neutral
Hi .,neutral
Hi .,neutral
How would did it go ?,neutral
"Oh well , the woman I interviewed with was pretty tough , but you know thank God Mark coached me , because once I started talking about the fall line , she got all happy and would not shut up .",joy
I am so proud of you .,joy
Me too !,joy
"Listen , I am ah , I am sorry I have been so crazy and jealous and , it is just that I like you a lot , so ...",sadness
I know .,neutral
Yeah .,neutral
Yeah .,neutral
Yeah . Hi Mark !,surprise
"Hi . I just talked to Joanna , and she loves you . You got it , you got the job .",joy
"Oh , I did !",surprise
Yes .,joy
Oh my God ! !,surprise
Congratulations ... oh ... wow,joy
"Well , if the magician can open my beer with his but cheeks , then all right .",joy
Night Mon . Night Julio .,neutral
Adiós .,neutral
"Look Julio , someone left their book here .",surprise
"Ah actually , that is mine .",neutral
"Oh yeah , what are you reading ?",neutral
"Flowers of Evil , by Beaudalire . Have you read it ?",neutral
"Have I read it ? No , are you enjoying it ?",neutral
"I thought I would , but the translation no good .",neutral
Your a poet and do not know it .,neutral
"Actually I ah , I am a poet .",neutral
"Oh , then you do know it . So um what kind of things do you write about ?",neutral
"Things that move me . The , the shadow of a tree , a child laughing , or this lip .",neutral
Mine ? Right here ?,surprise
I can write an epic poem about this lip .,neutral
"How would that go ? Well , it did not rhyme , but I liked it .",joy
"Oh my God , oh my God ! Poor Monica !",surprise
"What , what , what ? !",surprise
What ? !,surprise
He was with her when he wrote this poem .,neutral
"Look , My vessel so empty with nothing inside .",neutral
"Now that I have touched you , you seem emptier still .",neutral
"He thinks Monica is empty , she is the empty vase !",surprise
"Oh , totally . Oh , God , oh , she seemed so happy too .",sadness
Done .,neutral
Ohhh ! That is soo sweet !,joy
"Okay , okay look , I know I am being Mr . Inappropriate today , but it is just so tough , I mean see you walking around and I just wanna touch you and hold you , come on no one around , just , just kiss me .",joy
"All right that is , that is it ! ! Get off her !",anger
What is going on ?,surprise
What going on ? ! That is what going on ! !,anger
Ross !,surprise
I have been down in your store for twenty minutes trying to get a tie !,anger
What do I have to do to get some service ? !,anger
Hi Rach .,neutral
"So ! I am just an empty vase , huh ?",surprise
What ?,surprise
"You know , so I do not read as many important books as you do , and I do not write trick poems that seem to be about one thing but are actually about something else .",anger
"And you know what , I get excited about stupid stuff , like when I my People magazine comes on Saturday , and the new Hold Everything catalog .",anger
"Whoa , whoa , whoa .",surprise
You do not even know me ...,anger
"Whoa , whoa , whoa , the poem is not about you .",surprise
What ?,surprise
"The Empty Vase is not about you . My baby , you make me so sad that you would think this .",sadness
"I am sorry , my friend Phoebe ...",sadness
"No , it is about all women . Well , all American women . You feel better now ?",neutral
Oh yeah .,neutral
"Ahh , no .",neutral
Oh .,neutral
Are you jealous ?,surprise
"Noo , I you know I do not see why she has to play with you , that is all .",anger
I mean does not she have any you know other stripper moms friends of her own ?,anger
You are totally jealous .,joy
I am not jealous .,anger
"All right this is about , umm , people feeling certain things you know about strippers .",neutral
"And you know , and um , I ...",neutral
"Honey , I love you too .",joy
"Ugh . Wait , wait , wait .",sadness
What ?,surprise
Huh .,surprise
"Well , there is a kiss that he will not forget for a couple of hours , you know .",joy
"Yeah . Either that , or you just turned him on and sent him off to a stripper .",neutral
"You see that guy ? He is in classics now , but you know as soon as we leave he is going straight to the porn .",disgust
He is gonna go up to the counter with Citizen Kane .,neutral
Yeah .,neutral
I missed this .,joy
Me too .,joy
"So , you wanna get a hamburger or something ?",neutral
"Um , Chandler , Ross , this is Robert .",neutral
"Oh , hey .",neutral
Hi .,neutral
"You have have lipstick right here . That is okay , it is mine , we just kissed .",joy
"Listen , Robert gonna be here any second so , will one of you just tell him ?",neutral
Oh .,sadness
"Please , right now , no , every time I see him it is like Is it on the lose ? Is it watching me ?",fear
"We can not tell him , you can not go up to a guy you barely know and talk about his ... stuff .",sadness
"He is right , even if it is to say something complementary .",neutral
Hey !,joy
Hey .,neutral
"So you ready for the gym ? They have got this new rock climbing wall , we can spot each other .",neutral
"No , I can spot you from here .",neutral
What ?,surprise
"Okay , listen Robert ...",neutral
"Hey , do not we have to ...",neutral
"Yeah , we got , um ... hmm .",neutral
"Umm , I think you are really , really great ...",joy
Oh God !,sadness
Here we go again .,sadness
Why does this keep happening to me ?,anger
Is it something I am putting out there ?,sadness
Is this my fault ?,sadness
Or am I just nuts ?,sadness
"I ... I ... I ... I ... I do not know , I do not know what to say .",sadness
"Hey buddy , this is a family place , put the mouse back in the house .",disgust
Hi .,neutral
"Hi , sweetie !",joy
Hello .,neutral
"Hi , Ross .",neutral
"Yeah , huh .",neutral
I have got some bad news .,sadness
What ?,fear
"I can get a quick bite to eat , but then I have to come back up here .",sadness
"Come on sweetie ! You have had to work late every night for the past two weeks , what is it this time ?",sadness
"But work comes first ! Oh hey , but that is sad about you though , what happened ? Burn out ? Burn all out , did you ?",joy
"Nooo , he is leaving for a better job .",neutral
"Oh well that is great , so I guess this is ah , this is good bye then . Huh ? Good bye .",joy
"Okay , then .",neutral
Okay .,neutral
Well we are gonna miss you around here .,sadness
"Yeah , me too .",sadness
"So , see you on Saturday .",neutral
"Yeah , you bet .",neutral
Oh .,neutral
You know those are a delicacy in India .,neutral
You know they say a watched pot never beeps .,neutral
"It is just you know , been a couple of hours , and she has not called . Not that I even care , you know .",sadness
